24.42,31.44,45.53
23.91,31.21,45.42
23.9,31.62,46.28
24.71,31.87,46.69
24.39,31.9,46.56
24.92,30.98,45.9
24.46,30.8,44.77
24.46,31.12,45.56
24.3,31.1,45.44
23.99,30.46,44.34
24.31,30.93,44.67
24.49,30.83,43.9
24.96,31.37,44.69
25.14,31.51,45.44
25.37,32.22,46.67
24.39,31.96,46.2
25.15,32.22,47.28
25.32,32.4,47.08
26.05,32.92,47.13
25.79,32.74,47.7
25.96,32.73,47.15
26.41,33.34,48.06
26.85,33.79,49.5
26.72,33.86,49.97
26.28,34.22,50.67
26,33.81,49.91
26.17,33.88,49.37
25.66,33.6,48.61
25.8,32.91,48.03
25.66,33.44,48.87
25.54,33.15,47.69
25.8,33.48,48.22
25.37,33.38,48.43
24.71,32.87,47.72
24.6,32.62,46.96
25.13,33.36,49.04
24.55,33.13,48.66
24.23,33.09,49.66
23.85,32.43,48.3
23.61,32.69,48.7
23.18,32.19,47.8
23.62,32.44,48.19
23.39,33,48.54
23.86,33.48,49.46
23.78,33.45,49.69
23.92,32.86,48.5
23.16,32.28,48.08
23.26,32.53,49.74
23.28,32.07,48.77
23.48,31.93,48.38
23.07,31.57,48.23
23.43,31.71,48.72
23,31.62,49.43
22.51,31.71,49.73
22.1,31,47.77
22.08,30.76,47.31
21.85,30.29,46.15
22,30.41,45.41
21.65,30.13,44.52
22.1,30.5,46.01
21.79,30.34,46.04
21.98,30.51,46.62
21.5,29.63,44.72
22.15,30.13,43.9
22.2,29.93,42.87
22.02,30.09,43.3
22.75,30.6,44.57
22.75,30.33,43.26
22.99,29.99,41.42
22.41,29.03,40.96
22.23,29.33,41.39
21.29,29.01,41.36
21.51,29.11,40.86
21.7,30,43.09
21.41,29.82,41.73
20.72,29.27,41.6
20.49,28.27,39.25
20.7,28.37,39.23
20.9,28.72,40.43
20.48,28.3,39.73
20.51,27.82,39.05
20.42,27.64,38.73
20.14,27.56,38.76
19.87,28.02,40.31
19.72,28.06,39.69
19.59,27.59,38.82
19.56,27.44,38.45
19.28,27.44,39.54
19.8,28.09,40.87
19.81,28.97,42.05
19.84,28.71,41.2
19.51,28.23,40.64
19.57,28.29,41.3
19.87,28.88,42.03
20.49,29.21,41.64
20.35,28.85,41.21
19.77,27.77,38.92
19.52,27.56,38.5
18.2,26.59,37.52
18.12,26.81,37.58
18.92,26.45,36.86
17.6,25.17,34.11
17.98,25.91,35.42
17.77,26.33,35.99
18.79,26.88,37.29
17.19,25.43,34.67
17.47,25.59,35.46
16.27,24.78,34.73
17.27,25.44,35.73
18.82,27.48,38.58
19.21,27.6,38.15
18.96,27.34,37.19
19.23,27.18,37.12
19.56,27.13,37.62
19.13,26.24,36.72
16.33,24.27,33.1
17.07,24.81,34.32
17.28,24.62,33.47
16.13,22.48,30.43
16.01,22,30.17
13.64,20.8,28.54
13.55,19.51,26.5
12.49,20.02,26.69
12.07,18.39,24.33
10.94,17.32,22.14
13.93,19.65,26.06
13.11,18.86,25.97
11.46,17.22,21.53
12.49,17.27,22.65
11.63,17.54,22.99
13.24,18.76,25.84
12.21,17.65,24.29
11.09,16.02,21.62
11.14,16.13,22.46
9.77,15.66,21.54
9.23,14.26,19.9
10.93,15.66,22.4
10.88,16.6,23.39
11.77,17.72,25.03
11.52,17.65,25.15
12.33,18.04,24.39
13.63,19.54,26.59
12.76,18.65,25.21
11.42,17.68,23.44
12.08,17.68,24.48
11.36,17.79,24.64
10.81,17.08,23.56
9.88,15.54,21.48
11.05,16.83,24.1
9.89,16,22.85
9.42,15.61,22.21
9.41,15.5,23.07
8.45,14.73,21.35
7.49,12.94,18.47
8.9,13.67,21.04
9.41,14.65,22.68
10.01,14.95,23.18
10.05,15.22,24.8
10.19,15.58,24.49
9.03,14.81,21.72
9.58,14.5,22.4
9.76,14.45,22.3
9.08,13.73,20.6
9.45,13.91,20.84
10.37,14.79,22.33
9.66,14.52,22.44
9.96,14.79,23.84
9.88,14.86,23.76
9.92,14.93,23.53
9.91,14.97,23.62
10.87,15.83,24.6
10.63,15.77,24.42
9.98,15.29,22.78
10.24,15.27,22.96
10.19,14.81,22.01
10.01,15.08,21.98
10.29,15.01,21.96
10.54,14.98,22.49
10.36,15.48,23.1
10.81,15.88,23.49
11.43,16.22,23.85
11.58,16.67,25.1
11.39,17.21,25.66
11.83,17.67,26.25
11.27,16.91,24.79
11.38,17.3,25.31
10.92,16.83,24.3
10.42,15.94,23.16
10.17,16.1,23.68
9.72,15.31,22.46
9.93,15.51,22.7
9.99,15.73,23
8.93,14.54,21.57
9.59,15.26,23.02
9.22,14.74,22.26
9.01,15.28,23.33
9.08,15.44,23.71
9.41,15.66,23.62
9.84,16.16,24.33
9.2,15.71,23.62
9.03,15.49,23.13
9.08,15.16,22.65
9.51,15.36,23.03
9.13,15.45,23.32
9.45,15.89,23.98
10.09,16.25,24.49
10.11,16.39,24.65
9.13,15.57,23.48
9.48,15.5,23.35
9.56,15.51,23.44
9.67,15.37,23.3
8.83,14.31,21.87
8.89,14.15,21.68
9.01,14.08,21.55
